system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_04_15,25.046962851848605,-9999,-9999,2000,2000-04-15,15,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_16,-9999,-9999,-9999,2000,2000-04-16,16,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_17,-9999,10.933645150155314,-9999,2000,2000-04-17,17,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_18,23.363908056119215,10.116878504673025,13.24702955144619,2000,2000-04-18,18,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_19,22.636749068435904,12.55216021435831,10.084588854077595,2000,2000-04-19,19,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_20,27.62249223334487,11.629749159320113,15.992743074024759,2000,2000-04-20,20,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_21,18.350556147201587,14.82735632183909,3.5231998253624965,2000,2000-04-21,21,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_22,29.061759562841644,-9999,-9999,2000,2000-04-22,22,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_23,-9999,4.8096388261851075,-9999,2000,2000-04-23,23,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_24,23.014757654199684,11.061277258567031,11.953480395632653,2000,2000-04-24,24,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_25,-9999,-9999,-9999,2000,2000-04-25,25,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_28,-9999,3.9740766073871896,-9999,2000,2000-04-28,28,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_29,25.758506375227682,11.156145082331989,14.602361292895694,2000,2000-04-29,29,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_30,20.96651376146798,-9999,-9999,2000,2000-04-30,30,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_01,30.035406319537174,15.583320744027901,14.452085575509273,2000,2000-05-01,1,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_02,27.430346549192393,-9999,-9999,2000,2000-05-02,2,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_03,30.19842570861158,15.519108142263974,14.679317566347606,2000,2000-05-03,3,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_04,-9999,-9999,-9999,2000,2000-05-04,4,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_05,-9999,-9999,-9999,2000,2000-05-05,5,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_06,-9999,10.143733333333444,-9999,2000,2000-05-06,6,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_05_07,-9999,5.092772277227766,-9999,2000,2000-05-07,7,5,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
